session_id,landed_at,country,cohort,arm,events,engaged,deepest_step,user_agent
vp75vyklremt3flo01,2026-08-21T20:58:22.010Z,SG,dirty_nonus,homefacts-v5,1,0,landing,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
ls2j7q62izmt3flq4x,2026-08-21T20:58:24.768Z,SG,dirty_nonus,homefacts-v9,1,0,landing,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
wkhkbybqv5mt3fm5df,2026-08-21T20:58:44.609Z,SG,dirty_nonus,homefacts-v6,1,0,landing,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
m0oa5v6025pmt3fmlw5,2026-08-21T20:59:06.043Z,SG,dirty_nonus,homefacts-v5,1,0,landing,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
fpt8qhv0wtomt3fmm21,2026-08-21T20:59:06.082Z,SG,dirty_nonus,homefacts-v9,1,0,landing,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
1sh2qglmms3mt3fornh,2026-08-21T21:00:45.243Z,US,clean_us,homefacts-v5,1,0,landing,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 Edg/151.0.0.0"
v1tl0z3p57mt3e0ajj,2026-08-21T21:00:56.293Z,US,clean_us,homefacts-v5,1,1,landing,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 Edg/151.0.0.0"
s2rlcia2w8mt3fpmww,2026-08-21T21:01:25.495Z,US,clean_us,homefacts-v5,1,0,landing,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 Edg/151.0.0.0"
uuieizi00ymt3fpo44,2026-08-21T21:01:28.729Z,SG,dirty_nonus,homefacts-v6,1,0,landing,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
s06xp3xq78mt3ftx1d,2026-08-21T21:04:47.429Z,SG,dirty_nonus,homefacts-v5,1,0,landing,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
1xubecmdl9fmt3fu8k1,2026-08-21T21:05:02.104Z,SG,dirty_nonus,homefacts-v5,1,0,landing,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
08nfqz8maebomt3fuxlh,2026-08-21T21:05:34.527Z,SG,dirty_nonus,homefacts-v9,1,0,landing,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
x2j1994gc4lmt3fxzli,2026-08-21T21:07:58.027Z,US,clean_us,homefacts-v5,1,0,landing,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 Edg/151.0.0.0"
0xmxdwsx51tamt3g1d0g,2026-08-21T21:10:34.570Z,SG,dirty_nonus,homefacts-v9,1,0,landing,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
9j3olzwoytvmt3g8rah,2026-08-21T21:16:19.480Z,SG,dirty_nonus,homefacts-v5,1,0,landing,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
ic69r7ztzzjmt3g8tw0,2026-08-21T21:16:22.685Z,SG,dirty_nonus,homefacts-v9,1,0,landing,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
jgeqxppnvgfmt3g8uxn,2026-08-21T21:16:24.051Z,SG,dirty_nonus,homefacts-v6,1,0,landing,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
1d2gp623bvpmt3g8uz1,2026-08-21T21:16:24.098Z,SG,dirty_nonus,homefacts-v9,1,0,landing,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
0afagmxsdkemt3g8vhe,2026-08-21T21:16:24.830Z,SG,dirty_nonus,homefacts-v9,1,0,landing,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
